comparison,target_window,reference_window,v_component,region,P_delta,V850_delta,support_R2_delta,P_direction,V850_direction,support_direction,correspondence_type
S4_minus_T3_full,S4,T3_full,V_pos_centroid_lat,north_northeast,-0.4948279278300278,-0.7883483479725973,-0.014201140907575798,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_pos_centroid_lat,north_northeast,-0.04241792229421382,-0.016032034668066242,-0.0142272824056636,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_pos_centroid_lat,main_meiyu,-1.1343705386407317,-0.20630515494387414,-0.002006859675746403,decrease,decrease,near_zero,mixed
T3_late_minus_T3_early,T3_late,T3_early,V_pos_centroid_lat,main_meiyu,-0.7688456365140262,-0.48789571068654425,0.012033989718836603,decrease,decrease,increase,support_increase_without_P_increase
S4_minus_T3_full,S4,T3_full,V_pos_centroid_lat,main_meiyu,-0.2844915303451465,-1.5807466894397952,-0.013778242515372803,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_pos_centroid_lat,main_meiyu,-0.3494752893245572,-0.2217707775847928,-0.014540270333004202,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_pos_centroid_lat,south_china,1.077922480746218,-0.9389855977333581,0.011069105655410402,increase,decrease,increase,P_and_support_increase_together
T3_late_minus_T3_early,T3_late,T3_early,V_pos_centroid_lat,south_china,-0.1822833477990784,-0.8390181133879406,0.0398885864812077,decrease,decrease,increase,support_increase_without_P_increase
S4_minus_T3_full,S4,T3_full,V_pos_centroid_lat,south_china,0.7878838265808419,-1.6794312774759041,-0.0344576452534429,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_pos_centroid_lat,south_china,-0.0828560671813996,-0.3813718697217916,-0.028276787867239098,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_pos_centroid_lat,scs,0.9198090799848533,-0.45541740795138885,0.0083935885993622,increase,decrease,increase,P_and_support_increase_together
T3_late_minus_T3_early,T3_late,T3_early,V_pos_centroid_lat,scs,0.41934401829207957,-0.3306264241766399,5.989778149859126e-05,increase,decrease,near_zero,P_increase_without_support_increase
S4_minus_T3_full,S4,T3_full,V_pos_centroid_lat,scs,0.012519830312465174,-0.18539936348548758,-0.0102253489634591,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_pos_centroid_lat,scs,-0.22873310088658805,-0.15028473826210886,-0.0067895982893207,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_pos_centroid_lat,south_china_scs,0.8518963718085706,-0.7095703473826989,0.008190177993474906,increase,decrease,increase,P_and_support_increase_together
T3_late_minus_T3_early,T3_late,T3_early,V_pos_centroid_lat,south_china_scs,0.343312583044165,-0.5241683408439308,0.016964245658672897,increase,decrease,increase,P_and_support_increase_together
S4_minus_T3_full,S4,T3_full,V_pos_centroid_lat,south_china_scs,0.4847307103355192,-0.6101980681574855,-0.015912401129597305,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_pos_centroid_lat,south_china_scs,-0.18726140893318188,-0.23825833674724128,-0.016228157390870593,decrease,decrease,decrease,P_and_support_decrease_together
T3_full_minus_S3,T3_full,S3,V_pos_centroid_lat,main_easm_domain,0.10239203631448301,-0.24510751595904434,0.0019336859667822004,increase,decrease,near_zero,P_increase_without_support_increase
T3_late_minus_T3_early,T3_late,T3_early,V_pos_centroid_lat,main_easm_domain,-0.016977684143063776,-0.2730897138741124,0.005884380764373295,decrease,decrease,increase,support_increase_without_P_increase
S4_minus_T3_full,S4,T3_full,V_pos_centroid_lat,main_easm_domain,0.08681861029960025,-0.6897029916222048,-0.014084600058688602,increase,decrease,decrease,P_increase_without_support_increase
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",V_pos_centroid_lat,main_easm_domain,-0.0077171291559379185,-0.12413168812459663,-0.012639644455576395,decrease,decrease,decrease,P_and_support_decrease_together
