diagnosis_id,support_level,comparison,reference_window,target_window,region,v_component,primary_evidence_value,counter_evidence_value,allowed_statement,forbidden_statement
main_meiyu_support_change__V_pos_centroid_lat__T3_full_minus_S3,weak_or_near_zero,T3_full_minus_S3,S3,T3_full,main_meiyu,V_pos_centroid_lat,-0.002006859675746403,,"For V_pos_centroid_lat, main_meiyu support near_zero in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_pos_centroid_lat__T3_late_minus_T3_early,supported,T3_late_minus_T3_early,T3_early,T3_late,main_meiyu,V_pos_centroid_lat,0.012033989718836603,,"For V_pos_centroid_lat, main_meiyu support increase in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
main_meiyu_support_change__V_pos_centroid_lat__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,main_meiyu,V_pos_centroid_lat,-0.013778242515372803,,"For V_pos_centroid_lat, main_meiyu support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_pos_centroid_lat__T3_full_minus_S3,supported,T3_full_minus_S3,S3,T3_full,south_china_scs,V_pos_centroid_lat,0.008190177993474906,,"For V_pos_centroid_lat, south_china_scs support increase in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_pos_centroid_lat__T3_late_minus_T3_early,supported,T3_late_minus_T3_early,T3_early,T3_late,south_china_scs,V_pos_centroid_lat,0.016964245658672897,,"For V_pos_centroid_lat, south_china_scs support increase in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
south_scs_support_change__V_pos_centroid_lat__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,south_china_scs,V_pos_centroid_lat,-0.015912401129597305,,"For V_pos_centroid_lat, south_china_scs support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_pos_centroid_lat__T3_full_minus_S3,weak_or_near_zero,T3_full_minus_S3,S3,T3_full,north_northeast,V_pos_centroid_lat,-0.002501479293303601,,"For V_pos_centroid_lat, north_northeast support near_zero in T3_full relative to S3.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_pos_centroid_lat__T3_late_minus_T3_early,weak_or_near_zero,T3_late_minus_T3_early,T3_early,T3_late,north_northeast,V_pos_centroid_lat,-0.002563687603458098,,"For V_pos_centroid_lat, north_northeast support near_zero in T3_late relative to T3_early.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
north_support_change__V_pos_centroid_lat__S4_minus_T3_full,counter_evidence,S4_minus_T3_full,T3_full,S4,north_northeast,V_pos_centroid_lat,-0.014201140907575798,,"For V_pos_centroid_lat, north_northeast support decrease in S4 relative to T3_full.",Do not say enhancement/weakening without naming this comparison; do not infer physical takeover from this single support delta.
full_window_dilution__V_strength,supported,T3_full_minus_max_subwindow,"max(T3_early,T3_late)",T3_full,all_pre_registered_regions,V_strength,6.0,0.0,"For V_strength, 6/6 regions have T3_full support lower than the stronger T3 subwindow.",Do not equate full-window dilution with T3_early=S3 or T3_late=S4; that requires separate similarity evidence.
full_window_dilution__V_NS_diff,supported,T3_full_minus_max_subwindow,"max(T3_early,T3_late)",T3_full,all_pre_registered_regions,V_NS_diff,6.0,0.0,"For V_NS_diff, 6/6 regions have T3_full support lower than the stronger T3 subwindow.",Do not equate full-window dilution with T3_early=S3 or T3_late=S4; that requires separate similarity evidence.
full_window_dilution__V_pos_centroid_lat,supported,T3_full_minus_max_subwindow,"max(T3_early,T3_late)",T3_full,all_pre_registered_regions,V_pos_centroid_lat,6.0,0.0,"For V_pos_centroid_lat, 6/6 regions have T3_full support lower than the stronger T3 subwindow.",Do not equate full-window dilution with T3_early=S3 or T3_late=S4; that requires separate similarity evidence.
north_compensation_candidate__V_strength__T3_full_minus_S3,supported,T3_full_minus_S3,S3,T3_full,north_northeast,V_strength,0.011187940761308798,0.015961031680480398,"For V_strength, north compensation is a candidate in T3_full relative to S3; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_strength__T3_late_minus_T3_early,supported,T3_late_minus_T3_early,T3_early,T3_late,north_northeast,V_strength,0.013490014802219202,0.0444717068417847,"For V_strength, north compensation is a candidate in T3_late relative to T3_early; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_strength__S4_minus_T3_full,not_supported,S4_minus_T3_full,T3_full,S4,north_northeast,V_strength,-0.0166557973628225,-0.005553642400032303,"For V_strength, north compensation is not supported in S4 relative to T3_full; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_NS_diff__T3_full_minus_S3,supported,T3_full_minus_S3,S3,T3_full,north_northeast,V_NS_diff,0.0087548129387801,0.0072739944414579,"For V_NS_diff, north compensation is a candidate in T3_full relative to S3; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_NS_diff__T3_late_minus_T3_early,not_supported,T3_late_minus_T3_early,T3_early,T3_late,north_northeast,V_NS_diff,0.003369051346072502,0.025114119916681707,"For V_NS_diff, north compensation is not supported in T3_late relative to T3_early; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_NS_diff__S4_minus_T3_full,not_supported,S4_minus_T3_full,T3_full,S4,north_northeast,V_NS_diff,-0.0217221195854788,-0.0032681937734107998,"For V_NS_diff, north compensation is not supported in S4 relative to T3_full; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_pos_centroid_lat__T3_full_minus_S3,not_supported,T3_full_minus_S3,S3,T3_full,north_northeast,V_pos_centroid_lat,-0.002501479293303601,-0.010691657286778504,"For V_pos_centroid_lat, north compensation is not supported in T3_full relative to S3; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_pos_centroid_lat__T3_late_minus_T3_early,not_supported,T3_late_minus_T3_early,T3_early,T3_late,north_northeast,V_pos_centroid_lat,-0.002563687603458098,-0.019527933262130995,"For V_pos_centroid_lat, north compensation is not supported in T3_late relative to T3_early; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
north_compensation_candidate__V_pos_centroid_lat__S4_minus_T3_full,not_supported,S4_minus_T3_full,T3_full,S4,north_northeast,V_pos_centroid_lat,-0.014201140907575798,-0.0004228983922029972,"For V_pos_centroid_lat, north compensation is not supported in S4 relative to T3_full; criteria require north_R2, north-main, and north-south to increase.",Do not call north increase a takeover unless north also becomes the dominant region and object-level evidence supports it.
dominant_region_shift__V_strength__T3_full_minus_S3,not_supported,T3_full_minus_S3,S3,T3_full,south_to_south,V_strength,0.0,,"For V_strength, dominant support region remains south from S3 to T3_full.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_strength__T3_late_minus_T3_early,supported,T3_late_minus_T3_early,T3_early,T3_late,south_to_north,V_strength,1.0,,"For V_strength, dominant support region changes from south in T3_early to north in T3_late.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_strength__S4_minus_T3_full,not_supported,S4_minus_T3_full,T3_full,S4,south_to_south,V_strength,0.0,,"For V_strength, dominant support region remains south from T3_full to S4.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_NS_diff__T3_full_minus_S3,not_supported,T3_full_minus_S3,S3,T3_full,south_to_south,V_NS_diff,0.0,,"For V_NS_diff, dominant support region remains south from S3 to T3_full.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_NS_diff__T3_late_minus_T3_early,not_supported,T3_late_minus_T3_early,T3_early,T3_late,south_to_south,V_NS_diff,0.0,,"For V_NS_diff, dominant support region remains south from T3_early to T3_late.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_NS_diff__S4_minus_T3_full,not_supported,S4_minus_T3_full,T3_full,S4,south_to_south,V_NS_diff,0.0,,"For V_NS_diff, dominant support region remains south from T3_full to S4.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_pos_centroid_lat__T3_full_minus_S3,not_supported,T3_full_minus_S3,S3,T3_full,south_to_south,V_pos_centroid_lat,0.0,,"For V_pos_centroid_lat, dominant support region remains south from S3 to T3_full.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_pos_centroid_lat__T3_late_minus_T3_early,not_supported,T3_late_minus_T3_early,T3_early,T3_late,south_to_south,V_pos_centroid_lat,0.0,,"For V_pos_centroid_lat, dominant support region remains south from T3_early to T3_late.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
dominant_region_shift__V_pos_centroid_lat__S4_minus_T3_full,not_supported,S4_minus_T3_full,T3_full,S4,south_to_south,V_pos_centroid_lat,0.0,,"For V_pos_centroid_lat, dominant support region remains south from T3_full to S4.",Do not claim target shift if dominant region does not change or if the statement lacks the reference/target windows.
object_support_correspondence_overview__S4_minus_T3_full,mixed,S4_minus_T3_full,T3_full,S4,all_regions_components,all,6.0,12.0,Object-support correspondence is mixed: 6/18 component-region cases have P and support changing together.,Do not infer physical correspondence from support maps alone; consult object_support_correspondence_summary.csv.
object_support_correspondence_overview__T3_full_minus_S3,mixed,T3_full_minus_S3,S3,T3_full,all_regions_components,all,5.0,13.0,Object-support correspondence is mixed: 5/18 component-region cases have P and support changing together.,Do not infer physical correspondence from support maps alone; consult object_support_correspondence_summary.csv.
object_support_correspondence_overview__T3_full_minus_max_subwindow,broadly_consistent,T3_full_minus_max_subwindow,"max(T3_early,T3_late)",T3_full,all_regions_components,all,18.0,0.0,Object-support correspondence is mixed: 18/18 component-region cases have P and support changing together.,Do not infer physical correspondence from support maps alone; consult object_support_correspondence_summary.csv.
object_support_correspondence_overview__T3_late_minus_T3_early,mixed,T3_late_minus_T3_early,T3_early,T3_late,all_regions_components,all,6.0,12.0,Object-support correspondence is mixed: 6/18 component-region cases have P and support changing together.,Do not infer physical correspondence from support maps alone; consult object_support_correspondence_summary.csv.
