field,feature_id,feature_coordinate,feature_type,dF,abs_dF,relative_abs_dF_contribution,feature_signal_to_noise,feature_transition_amplitude_label,departure90,departure95,t10,t15,t20,t25,t30,t35,t40,t45,t50,t75,peak_raw,peak_smooth3,duration_25_75,tail_50_75,early_span_25_50,marker_valid_fraction,edge_hit_fraction,feature_marker_reliability,feature_process_type,feature_interpretation,n_stable_or_moderate_key_markers
P,10,10,feature_index,-0.19357086660667855,0.19357086660667855,0.021771221151350245,2.25239014558637,moderate_transition_feature,46.0,46.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,46.0,46.0,44.0,45.0,16.0,0.0,16.0,1.0,0.35714285714285715,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
P,11,11,feature_index,-0.14181265231296702,0.14181265231296702,0.015949893027232147,1.4032842238800454,weak_transition_feature,58.0,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,45.0,44.0,0.0,0.0,0.0,0.9285714285714286,0.7692307692307693,usable_with_caution_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,1
P,12,12,feature_index,-0.11728683946845841,0.11728683946845841,0.013191436113158482,1.8701832003012109,weak_transition_feature,54.0,55.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,54.0,45.0,45.0,24.0,24.0,0.0,1.0,0.6428571428571429,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
V,0,0,feature_index,1.5181022367144803,1.5181022367144803,0.18060097160844862,22.964686205202153,strong_transition_feature,37.0,37.0,37.0,39.0,40.0,40.0,41.0,42.0,43.0,44.0,44.0,48.0,45.0,45.0,8.0,4.0,4.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,4
V,1,1,feature_index,1.6552474276154965,1.6552474276154965,0.1969164437348546,25.27029908212384,strong_transition_feature,37.0,37.0,37.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,49.0,45.0,46.0,8.0,4.0,4.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,4
V,2,2,feature_index,1.4652994637793415,1.4652994637793415,0.17431929184731149,28.164993712688048,strong_transition_feature,37.0,37.0,38.0,40.0,41.0,42.0,43.0,44.0,45.0,45.0,46.0,49.0,45.0,46.0,7.0,3.0,4.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,4
V,3,3,feature_index,0.9748957149681926,0.9748957149681926,0.11597842956955137,30.66038674563584,strong_transition_feature,37.0,37.0,41.0,42.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,50.0,45.0,46.0,6.0,3.0,3.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,1
V,4,4,feature_index,0.49923865598696127,0.49923865598696127,0.05939190665503169,27.21299990717546,strong_transition_feature,37.0,37.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,50.0,50.0,50.0,4.0,2.0,2.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
V,5,5,feature_index,0.1033126004081632,0.1033126004081632,0.012290579357481627,5.970503169779441,weak_transition_feature,37.0,37.0,37.0,37.0,37.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,51.0,1.0,1.0,0.0,1.0,0.0,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
V,6,6,feature_index,-0.2063025851802632,0.2063025851802632,0.024542778758778493,12.265575587435574,moderate_transition_feature,40.0,41.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,42.0,42.0,2.0,1.0,1.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
V,7,7,feature_index,-0.45605891545176164,0.45605891545176164,0.054255030556795335,25.69833239041058,strong_transition_feature,39.0,39.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,45.0,42.0,43.0,3.0,2.0,1.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
V,8,8,feature_index,-0.5418171248272989,0.5418171248272989,0.06445725249024192,20.084053221023236,strong_transition_feature,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,45.0,41.0,42.0,4.0,2.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,1
V,9,9,feature_index,-0.5366586817211142,0.5366586817211142,0.06384357851332974,28.312476818643724,strong_transition_feature,40.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,43.0,43.0,45.0,41.0,45.0,4.0,2.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,1
V,10,10,feature_index,-0.4489030802391303,0.4489030802391303,0.05340373690817512,17.757294791876575,strong_transition_feature,39.0,39.0,39.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,44.0,44.0,44.0,3.0,2.0,1.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,1
H,0,0,feature_index,-0.324562851767334,0.324562851767334,0.060029168798123346,4.3716097411944075,strong_transition_feature,37.0,37.0,35.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,38.0,39.0,60.0,34.0,3.0,1.0,2.0,1.0,0.07142857142857142,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
H,1,1,feature_index,-0.31661457795852155,0.31661457795852155,0.05855910447152277,5.6771771215803835,strong_transition_feature,37.0,37.0,35.0,35.0,35.0,36.0,37.0,37.0,38.0,39.0,39.0,45.0,33.0,34.0,9.0,6.0,3.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
H,2,2,feature_index,-0.09823978798648769,0.09823978798648769,0.01816983300344003,2.3109080333871193,weak_transition_feature,45.0,45.0,33.0,34.0,34.0,34.0,34.0,35.0,45.0,45.0,45.0,46.0,60.0,46.0,12.0,1.0,11.0,1.0,0.07142857142857142,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
H,3,3,feature_index,0.5038934880266579,0.5038934880266579,0.09319707133554267,5.262569206540033,strong_transition_feature,37.0,37.0,36.0,36.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,40.0,37.0,37.0,3.0,2.0,1.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
H,4,4,feature_index,0.8123927282447524,0.8123927282447524,0.15025521235292652,6.475974846077707,strong_transition_feature,37.0,37.0,36.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,42.0,37.0,37.0,5.0,3.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
H,5,5,feature_index,0.746580443475342,0.746580443475342,0.13808297289329433,6.626989939024867,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,43.0,38.0,37.0,6.0,4.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
H,6,6,feature_index,0.6398200762227777,0.6398200762227777,0.11833722543064884,6.6177784699551765,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,43.0,36.0,37.0,6.0,4.0,2.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
H,7,7,feature_index,0.544142499361322,0.544142499361322,0.10064128339557887,6.513903759093775,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,51.0,36.0,36.0,14.0,12.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
H,8,8,feature_index,0.48282748817487553,0.48282748817487553,0.08930083227393125,6.3559123785778215,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,37.0,38.0,38.0,39.0,39.0,52.0,36.0,36.0,15.0,13.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
H,9,9,feature_index,0.46271780337054547,0.46271780337054547,0.08558146742048969,6.402914424058448,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,37.0,38.0,38.0,39.0,49.0,52.0,50.0,35.0,15.0,3.0,12.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
H,10,10,feature_index,0.47496064371832714,0.47496064371832714,0.08784582862450173,6.795329424128472,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,38.0,39.0,48.0,49.0,50.0,52.0,50.0,32.0,15.0,2.0,13.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
Je,0,0,feature_index,-0.7307102935659713,0.7307102935659713,0.13496001076840825,6.553799344774813,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,38.0,38.0,39.0,40.0,41.0,52.0,32.0,32.0,15.0,11.0,4.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
Je,1,1,feature_index,-0.5586689829645068,0.5586689829645068,0.10318449407481668,6.075170888770391,strong_transition_feature,37.0,37.0,35.0,36.0,36.0,37.0,37.0,38.0,39.0,40.0,41.0,52.0,32.0,32.0,15.0,11.0,4.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
Je,2,2,feature_index,-0.3997445340770581,0.3997445340770581,0.07383162259884236,5.544601794510939,strong_transition_feature,37.0,37.0,35.0,35.0,36.0,36.0,37.0,38.0,38.0,39.0,40.0,53.0,32.0,32.0,17.0,13.0,4.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
Je,3,3,feature_index,-0.2487933134493716,0.2487933134493716,0.04595138259018338,4.893534943524378,moderate_transition_feature,37.0,37.0,34.0,35.0,35.0,36.0,36.0,37.0,37.0,38.0,39.0,53.0,31.0,32.0,17.0,14.0,3.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,1
Je,4,4,feature_index,-0.11648301599258348,0.11648301599258348,0.021514065466324825,4.378707551534935,moderate_transition_feature,37.0,37.0,34.0,35.0,35.0,36.0,36.0,37.0,37.0,37.0,38.0,53.0,31.0,32.0,17.0,15.0,2.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
Je,5,5,feature_index,-0.03612123920266097,0.03612123920266097,0.006671485094275942,1.951357450111942,weak_transition_feature,52.0,52.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,53.0,31.0,51.0,21.0,21.0,0.0,1.0,0.0,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
Je,6,6,feature_index,-0.041696422999429994,0.041696422999429994,0.00770120490508612,0.9635591893958948,low_contribution_feature,53.0,53.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,49.0,48.0,0.0,0.0,0.0,1.0,0.7142857142857143,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
Je,7,7,feature_index,-0.27796679492904564,0.27796679492904564,0.051339637565263045,4.081143922601632,strong_transition_feature,49.0,49.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,49.0,50.0,45.0,46.0,20.0,1.0,19.0,1.0,0.5714285714285714,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
Je,8,8,feature_index,-0.7795326215434879,0.7795326215434879,0.1439773490591128,5.8380933934272585,strong_transition_feature,46.0,46.0,30.0,30.0,30.0,30.0,46.0,46.0,47.0,47.0,47.0,49.0,46.0,46.0,19.0,2.0,17.0,1.0,0.2857142857142857,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
Je,9,9,feature_index,-1.1237504742683389,1.1237504742683389,0.20755335930486152,7.004895791804436,strong_transition_feature,45.0,45.0,30.0,30.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,49.0,46.0,46.0,4.0,3.0,1.0,1.0,0.14285714285714285,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
Je,10,10,feature_index,-1.1008049452920232,1.1008049452920232,0.20331538857282502,8.858652776844727,strong_transition_feature,42.0,42.0,42.0,42.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,50.0,46.0,45.0,6.0,4.0,2.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
Jw,0,0,feature_index,-0.9040879900613107,0.9040879900613107,0.11520959852479089,12.874523291855613,strong_transition_feature,37.0,37.0,37.0,38.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,51.0,51.0,51.0,10.0,5.0,5.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,4
Jw,1,1,feature_index,-0.7523105292351786,0.7523105292351786,0.09586831701334748,13.040717604262241,strong_transition_feature,37.0,37.0,37.0,39.0,41.0,43.0,44.0,45.0,46.0,47.0,48.0,51.0,50.0,50.0,8.0,3.0,5.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,4
Jw,2,2,feature_index,-0.5359467561050341,0.5359467561050341,0.06829668271263915,12.255252366946632,strong_transition_feature,37.0,37.0,38.0,44.0,45.0,46.0,47.0,48.0,49.0,49.0,50.0,52.0,50.0,50.0,6.0,2.0,4.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
Jw,3,3,feature_index,-0.17936186327783177,0.17936186327783177,0.022856412745286096,6.441355407401649,moderate_transition_feature,50.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,53.0,54.0,50.0,50.0,3.0,1.0,2.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
Jw,4,4,feature_index,0.35253185562390343,0.35253185562390343,0.0449237839680573,11.10209351315662,moderate_transition_feature,37.0,37.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,40.0,41.0,39.0,39.0,3.0,1.0,2.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,4
Jw,5,5,feature_index,0.9750362409613373,0.9750362409613373,0.1242506648724081,18.93333715695376,strong_transition_feature,37.0,37.0,38.0,38.0,39.0,39.0,39.0,40.0,41.0,41.0,42.0,45.0,39.0,39.0,6.0,3.0,3.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
Jw,6,6,feature_index,1.3875912623671396,1.3875912623671396,0.17682331145996616,18.733059234202724,strong_transition_feature,37.0,37.0,37.0,38.0,39.0,39.0,40.0,41.0,42.0,43.0,43.0,47.0,39.0,38.0,8.0,4.0,4.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
Jw,7,7,feature_index,1.2718108359756783,1.2718108359756783,0.16206919837780392,13.891933927687178,strong_transition_feature,37.0,37.0,37.0,37.0,38.0,39.0,39.0,41.0,43.0,44.0,45.0,49.0,49.0,38.0,10.0,4.0,6.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,1
Jw,8,8,feature_index,0.6261418873929356,0.6261418873929356,0.0797904144940615,7.566584856825343,strong_transition_feature,37.0,37.0,36.0,37.0,37.0,37.0,38.0,38.0,39.0,48.0,48.0,49.0,49.0,49.0,12.0,1.0,11.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
Jw,9,9,feature_index,-0.1433612755796949,0.1433612755796949,0.018268791517093912,2.791299597159986,weak_transition_feature,41.0,42.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,41.0,41.0,42.0,42.0,42.0,12.0,1.0,11.0,1.0,0.5,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
Jw,10,10,feature_index,-0.719151684399376,0.719151684399376,0.09164282431454548,19.582851550326712,strong_transition_feature,37.0,37.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0,40.0,41.0,42.0,42.0,42.0,3.0,1.0,2.0,1.0,0.0,usable_with_caution_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,2
