field,feature_id,feature_coordinate,feature_type,pre_mean,post_mean,dF,abs_dF,relative_abs_dF_contribution,signed_contribution_fraction,pre_internal_std,post_internal_std,feature_signal_to_noise,feature_transition_amplitude_label
H,5,5,feature_index,-1.0702091275259398,-0.3236286840505977,0.746580443475342,0.746580443475342,0.13808297289329433,0.1380829728932688,0.147520247978918,0.07779484992768035,6.626989939024867,strong_transition_feature
H,6,6,feature_index,-1.1254412028421976,-0.48562112661941986,0.6398200762227777,0.6398200762227777,0.11833722543064884,0.11833722543062694,0.13142906782043748,0.06193493767504824,6.6177784699551765,strong_transition_feature
H,7,7,feature_index,-1.1193254720667378,-0.5751829727054159,0.544142499361322,0.544142499361322,0.10064128339557887,0.10064128339556026,0.11634511426645858,0.050725975353235156,6.513903759093775,strong_transition_feature
H,8,8,feature_index,-1.0932681544411809,-0.6104406662663053,0.48282748817487553,0.48282748817487553,0.08930083227393125,0.08930083227391473,0.10554907048218264,0.04638111968087164,6.3559123785778215,strong_transition_feature
H,9,9,feature_index,-1.0679999745768443,-0.6052821712062988,0.46271780337054547,0.46271780337054547,0.08558146742048969,0.08558146742047386,0.09738514762515749,0.047148348442044886,6.402914424058448,strong_transition_feature
H,10,10,feature_index,-1.050237020201763,-0.5752763764834359,0.47496064371832714,0.47496064371832714,0.08784582862450173,0.08784582862448548,0.09014094524637471,0.049649376625312144,6.795329424128472,strong_transition_feature
Je,0,0,feature_index,1.1698135912991767,0.4391032977332054,-0.7307102935659713,0.7307102935659713,0.13496001076840825,-0.13496001076838332,0.14416364064462994,0.07882466129109997,6.553799344774813,strong_transition_feature
Je,1,1,feature_index,1.1304693557976533,0.5718003728331464,-0.5586689829645068,0.5586689829645068,0.10318449407481668,-0.10318449407479763,0.11972023269686584,0.06419853870464307,6.075170888770391,strong_transition_feature
Je,2,2,feature_index,1.085954036931969,0.6862095028549108,-0.3997445340770581,0.3997445340770581,0.07383162259884236,-0.07383162259882872,0.09816629373499931,0.046026039235514,5.544601794510939,strong_transition_feature
Je,3,3,feature_index,1.0315135805405846,0.782720267091213,-0.2487933134493716,0.2487933134493716,0.04595138259018338,-0.045951382590174894,0.0769397757121303,0.024742675242350638,4.893534943524378,moderate_transition_feature
Je,4,4,feature_index,0.9695470279524392,0.8530640119598557,-0.11648301599258348,0.11648301599258348,0.021514065466324825,-0.02151406546632085,0.043041228225183345,0.010163063049017968,4.378707551534935,moderate_transition_feature
Je,5,5,feature_index,0.9002108036094884,0.8640895644068274,-0.03612123920266097,0.03612123920266097,0.006671485094275942,-0.006671485094274709,0.017805624750103752,0.019216028252156268,1.951357450111942,weak_transition_feature
Je,6,6,feature_index,0.8329702418379751,0.7912738188385451,-0.041696422999429994,0.041696422999429994,0.00770120490508612,-0.007701204905084698,0.05889171669138884,0.027654960372856866,0.9635591893958948,low_contribution_feature
Je,7,7,feature_index,0.8045764185769767,0.5266096236479311,-0.27796679492904564,0.27796679492904564,0.051339637565263045,-0.05133963756525356,0.12347828405991657,0.012741756299634008,4.081143922601632,strong_transition_feature
Je,8,8,feature_index,0.7388089116850683,-0.04072370985841959,-0.7795326215434879,0.7795326215434879,0.1439773490591128,-0.1439773490590862,0.1970506959230704,0.06999971557438064,5.8380933934272585,strong_transition_feature
Je,9,9,feature_index,0.46807528442986934,-0.6556751898384695,-1.1237504742683389,1.1237504742683389,0.20755335930486152,-0.2075533593048232,0.18179043581401164,0.13905672812983905,7.004895791804436,strong_transition_feature
Je,10,10,feature_index,0.23007902676953976,-0.8707259185224834,-1.1008049452920232,1.1008049452920232,0.20331538857282502,-0.20331538857278747,0.08840054116879825,0.16012594993840804,8.858652776844727,strong_transition_feature
Jw,0,0,feature_index,1.3178779286177682,0.4137899385564575,-0.9040879900613107,0.9040879900613107,0.11520959852479089,-0.1152095985247762,0.07505950449470701,0.06538654846639325,12.874523291855613,strong_transition_feature
Jw,1,1,feature_index,1.2650363777531806,0.512725848518002,-0.7523105292351786,0.7523105292351786,0.09586831701334748,-0.09586831701333527,0.05484422908457871,0.0605344720041178,13.040717604262241,strong_transition_feature
Jw,2,2,feature_index,1.1899487958820523,0.6540020397770182,-0.5359467561050341,0.5359467561050341,0.06829668271263915,-0.06829668271263045,0.03395392797381152,0.05351008174960614,12.255252366946632,strong_transition_feature
Jw,3,3,feature_index,1.0373190186647816,0.8579571553869498,-0.17936186327783177,0.17936186327783177,0.022856412745286096,-0.022856412745283182,0.010925592132782684,0.044765128818676954,6.441355407401649,moderate_transition_feature
Jw,4,4,feature_index,0.7435772122055384,1.0961090678294418,0.35253185562390343,0.35253185562390343,0.0449237839680573,0.04492378396805158,0.02676115512330352,0.03674612036397838,11.10209351315662,moderate_transition_feature
Jw,5,5,feature_index,0.23891877766871494,1.2139550186300523,0.9750362409613373,0.9750362409613373,0.1242506648724081,0.12425066487239227,0.0679394796392461,0.035057285575416215,18.93333715695376,strong_transition_feature
Jw,6,6,feature_index,-0.4141342470365045,0.973457015330635,1.3875912623671396,1.3875912623671396,0.17682331145996616,0.17682331145994362,0.10186052156718979,0.0462830619234287,18.733059234202724,strong_transition_feature
Jw,7,7,feature_index,-0.9758522633847893,0.2959585725908891,1.2718108359756783,1.2718108359756783,0.16206919837780392,0.16206919837778325,0.12499827926199414,0.058102337625769274,13.891933927687178,strong_transition_feature
Jw,8,8,feature_index,-1.109200302724262,-0.4830584153313265,0.6261418873929356,0.6261418873929356,0.0797904144940615,0.07979041449405133,0.119074277593666,0.04642757013108806,7.566584856825343,strong_transition_feature
Jw,9,9,feature_index,-0.7801243170176009,-0.9234855925972958,-0.1433612755796949,0.1433612755796949,0.018268791517093912,-0.018268791517091584,0.0660743369456518,0.03664575495904153,2.791299597159986,weak_transition_feature
Jw,10,10,feature_index,-0.2628173021980301,-0.9819689865974062,-0.719151684399376,0.719151684399376,0.09164282431454548,-0.0916428243145338,0.0422280371148985,0.03121904821193636,19.582851550326712,strong_transition_feature
